forecast_month,beans_forecast,maize_forecast,beans_lower,beans_upper,maize_lower,maize_upper
2026-07-01,599.38,233.55,565.27,633.49,221.89,245.21
2026-08-01,624.07,233.55,589.96,658.18,221.89,245.21
2026-09-01,595.56,233.55,561.45,629.67,221.89,245.21
2026-10-01,584.1,233.55,549.99,618.21,221.89,245.21
2026-11-01,594.8,233.55,560.69,628.91,221.89,245.21
2026-12-01,592.13,233.55,558.02,626.24,221.89,245.21
2027-01-01,581.97,233.55,547.86,616.08,221.89,245.21
2027-02-01,583.09,233.55,548.98,617.2,221.89,245.21
2027-03-01,588.91,233.55,554.8,623.02,221.89,245.21
2027-04-01,592.6,233.55,558.49,626.71,221.89,245.21
2027-05-01,593.95,233.55,559.84,628.06,221.89,245.21
2027-06-01,590.26,233.55,556.15,624.37,221.89,245.21
